Name of MALDI Data,X,Y,Z,Radii
0_R00X069Y153,-6.786,28.797,49.1539,1
0_R00X074Y160,-7.9513,31.0287,48.0697,1
0_R00X077Y134,-8.9673,31.9102,48.8098,1
0_R00X079Y139,-9.6805,32.6329,49.3131,1
0_R00X081Y143,-10.2674,33.7762,50.1383,1
0_R00X083Y161,-11.3176,34.8437,52.427,1
0_R00X086Y160,-11.6062,36.3746,50.2238,1
0_R00X090Y157,-13.3433,38.6127,52.0164,1
0_R01X094Y150,-5.5914,36.0055,44.8677,1
0_R01X097Y138,-5.2529,37.197,45.7953,1
0_R01X099Y145,-5.4843,37.9876,45.952,1
0_R01X101Y147,-5.7201,38.7543,46.3351,1
0_R01X103Y146,-6.0562,38.814,45.6511,1
0_R01X105Y158,-5.8159,39.8969,47.0873,1
0_R01X108Y163,-8.2135,38.2257,44.174,1
0_R02X135Y147,2.0595,19.7112,46.6484,1.5
0_R02X149Y130,0.3846,22.8252,46.138,1.5
0_R03X156Y139,3.6041,23.8358,46.21,1.5
0_R10X142Y180,-21.7376,37.531,41.5417,1
0_R10X144Y203,-19.701,41.5146,42.3323,1
0_R10X146Y195,-20.555,40.0464,43.5568,1
0_R10X148Y173,-20.8288,36.4453,41.866,1
0_R10X149Y210,-21.0424,38.5946,43.9719,1
0_R10X151Y181,-17.0276,41.7339,41.3705,1
0_R10X152Y217,-16.5065,41.2571,41.1012,1
0_R10X154Y186,-19.7795,38.5113,45.536,1
0_R10X155Y221,-19.7508,35.5553,43.8999,1
0_R10X157Y186,-15.7838,42.0271,44.5412,1
0_R10X158Y219,-14.7905,40.5607,42.4499,1
0_R10X160Y176,-18.9649,36.2648,46.6211,1
0_R10X161Y202,-17.4473,39.2465,47.3339,1
0_R10X162Y226,-13.6097,38.7894,41.2922,1
0_R10X164Y171,-18.3382,35.8837,47.0786,1
0_R10X165Y193,-15.183,40.9387,46.6953,1
0_R10X166Y215,-12.9976,39.9549,43.4376,1
0_R10X168Y159,-16.8303,33.0159,44.0172,1
0_R10X169Y182,-12.7644,40.7568,44.9054,1
0_R10X170Y205,-12.6883,40.8796,45.3186,1
0_R10X171Y228,-16.1816,32.7926,44.0369,1
0_R10X173Y171,-11.3878,38.2308,42.8156,1
0_R10X174Y193,-13.8632,39.65,47.6057,1
0_R10X175Y216,-15.9176,34.0083,47.5544,1
0_R10X177Y162,-10.6836,36.8085,41.3983,1
0_R10X178Y187,-13.1873,38.7751,47.9035,1
0_R10X179Y213,-14.2165,35.5956,48.5519,1
0_R10X181Y166,-9.908,36.7233,42.2312,1
0_R10X182Y194,-10.4354,39.5135,47.1598,1
0_R10X183Y223,-12.7843,31.4331,43.9445,1
0_R10X185Y195,-10.2456,37.7602,47.7332,1
0_R10X187Y197,-10.2091,35.8704,47.7637,1
0_R11X195Y201,-18.9668,39.5362,39.4692,1
0_R11X197Y226,-20.4731,36.2224,40.045,1
0_R11X199Y223,-19.8282,36.1551,40.0176,1
0_R11X201Y214,-18.6199,36.5848,40.4846,1
0_R11X216Y198,-14.4631,34.7215,38.8391,1
0_R12X095Y248,-2.64,30.951,46.9773,1
0_R14X128Y271,-5.4308,33.3646,41.3679,1
0_R15X171Y282,-10.4234,29.4572,41.7006,1
