Name of MALDI Data,X,Y,Z,Radii
0_R00X069Y153,-6.786,28.797,49.1539,1
0_R00X070Y147,-7.1437,28.6917,49.2306,1
0_R00X070Y148,-7.0131,28.8246,49.2226,1
0_R00X070Y149,-6.9264,29.007,49.1733,1
0_R00X070Y150,-6.9147,29.2244,49.0651,1
0_R00X070Y151,-7.0002,29.3406,48.9148,1
0_R00X070Y152,-7.0898,29.4139,48.8021,1
0_R00X070Y153,-7.2309,29.5427,48.5666,1
0_R00X070Y154,-7.3216,29.6917,48.4368,1
0_R00X071Y141,-7.4274,30.083,48.2014,1
0_R00X071Y142,-7.451,29.9584,48.294,1
0_R00X071Y143,-7.4872,29.8634,48.3851,1
0_R00X071Y144,-7.516,29.7936,48.4529,1
0_R00X071Y145,-7.5303,29.7436,48.496,1
0_R00X071Y146,-7.5545,29.6791,48.5515,1
0_R00X071Y147,-7.5672,29.613,48.6066,1
0_R00X071Y148,-7.592,29.5545,48.6662,1
0_R00X071Y149,-7.6074,29.4771,48.7505,1
0_R00X071Y150,-7.6049,29.4315,48.8167,1
0_R00X071Y151,-7.58,29.3824,48.9096,1
0_R00X071Y152,-7.4984,29.3553,48.9981,1
0_R00X071Y153,-7.5578,29.316,49.0702,1
0_R00X071Y154,-7.7095,29.2724,49.092,1
0_R00X071Y155,-7.9093,29.237,49.1,1
0_R00X071Y156,-8.203,29.1858,49.098,1
0_R00X072Y138,-8.7357,29.423,49.1167,1
0_R00X072Y139,-8.6785,29.4477,49.1222,1
0_R00X072Y140,-8.6103,29.4644,49.1223,1
0_R00X072Y141,-8.5753,29.4705,49.1144,1
0_R00X072Y142,-8.525,29.4746,49.0882,1
0_R00X072Y143,-8.4563,29.4887,49.0425,1
0_R00X072Y144,-8.426,29.4976,49.0243,1
0_R00X072Y145,-8.3981,29.5087,49.0083,1
0_R00X072Y146,-8.365,29.5299,48.9869,1
0_R00X072Y147,-8.3092,29.5592,48.9541,1
0_R00X072Y148,-8.2767,29.5863,48.933,1
0_R00X072Y149,-8.2257,29.6229,48.9037,1
0_R00X072Y150,-8.1652,29.6638,48.869,1
0_R00X072Y151,-8.0845,29.7281,48.8245,1
0_R00X072Y152,-8.0109,29.7857,48.7806,1
0_R00X072Y153,-7.9508,29.8495,48.7401,1
0_R00X072Y154,-7.89,29.9091,48.7001,1
0_R00X072Y155,-7.8395,30.0044,48.6434,1
0_R00X072Y156,-7.7839,30.0755,48.5736,1
0_R00X072Y157,-7.7247,30.1484,48.4913,1
0_R00X072Y158,-7.6041,30.2491,48.3167,1
0_R00X073Y134,-7.7326,30.7269,48.2084,1
0_R00X073Y135,-7.8129,30.6754,48.3346,1
0_R00X073Y136,-7.8532,30.6418,48.4105,1
0_R00X073Y137,-7.8847,30.6213,48.4715,1
0_R00X073Y138,-7.9235,30.6013,48.5283,1
0_R00X073Y139,-7.9734,30.5784,48.5903,1
0_R00X073Y140,-8.0482,30.5471,48.682,1
0_R00X073Y141,-8.076,30.5148,48.7447,1
0_R00X073Y142,-8.116,30.4846,48.8157,1
0_R00X073Y143,-8.1666,30.4435,48.8849,1
0_R00X073Y144,-8.1992,30.409,48.9312,1
0_R00X073Y145,-8.2783,30.3746,48.9982,1
0_R00X073Y146,-8.3234,30.3393,49.0247,1
0_R00X073Y147,-8.4017,30.2931,49.0603,1
0_R00X073Y148,-8.4952,30.2443,49.0879,1
0_R00X073Y149,-8.5425,30.2195,49.1007,1
0_R00X073Y150,-8.5926,30.2012,49.1163,1
0_R00X073Y151,-8.6277,30.18,49.126,1
0_R00X073Y152,-8.667,30.1562,49.1378,1
0_R00X073Y153,-8.6923,30.1381,49.1453,1
0_R00X073Y154,-8.7286,30.1192,49.158,1
